t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
50,0.5589759482806274,0.001399271753508899,0.06828074718961558,0.0,0.0,0.0007119279295776826,6.281724143019203e-05,0.03379915222768187,0.024252886990449404,0.04155735116577804,0.0,0.0,1.835986272002862e-05,8.663086600823024e-06,0.0030902103667343438,0.054788459035418346,0.0029004077507125336,0.0,0.0,3.2612996194592406e-05,4.995620948239757e-06,0.11553835292014307,0.0002775365871033669,0.0001980176773153236
51,0.5583927433995608,0.0014008867617173468,0.06818444596554284,0.0,0.0,0.000711852324280168,6.314151169439032e-05,0.03412704812250665,0.024261759445310598,0.041215312263285016,0.0,0.0,1.8584112694108267e-05,8.743148866292766e-06,0.003132096553328509,0.05486127315761636,0.002943908754028868,0.0,0.0,3.26682422793691e-05,5.017859511173154e-06,0.11550770619209122,0.00027763686281972257,0.00019808922234890319
52,0.5578147867109716,0.001402204865756567,0.0680937616746422,0.0,0.0,0.0007117793007610267,6.34668860009591e-05,0.03444820640425886,0.02426578851191106,0.040884898835626196,0.0,0.0,1.880566118307342e-05,8.821780908537967e-06,0.003172885513759151,0.054932673770475796,0.0029880300363996732,0.0,0.0,3.272272188881299e-05,5.040730621851456e-06,0.11547707231553751,0.0002777371104628081,0.00019816074735267767
53,0.5572419913885234,0.0014032431900667243,0.06800842063820688,0.0,0.0,0.0007117088803627194,6.379322571939794e-05,0.03476282539317013,0.024265264912980884,0.040565620340047376,0.0,0.0,1.902459064907986e-05,8.899035361758874e-06,0.003212581163357039,0.05500269239233421,0.0030327336204652943,0.0,0.0,3.277645268927399e-05,5.064213842037699e-06,0.11544645122783807,0.00027783733004048286,0.00019823225233225463
54,0.5566742723764756,0.001404017793809915,0.06792816338034784,0.0,0.0,0.0007116410814732435,6.412040013067953e-05,0.03507109570358105,0.024260464177634097,0.04025700919550981,0.0,0.0,1.9240980258871923e-05,8.974962534050298e-06,0.003251188928222762,0.05507136049442928,0.0030779820684893686,0.0,0.0,3.282945235739987e-05,5.088288831298477e-06,0.11541584286250348,0.0002779375215606041,0.00019830373729324
55,0.5561115465129133,0.0014045439772182883,0.06785274356801901,0.0,0.0,0.000711575919944605,6.444828574252833e-05,0.03537320063915333,0.024251647550121363,0.03995861947552515,0.0,0.0,1.945490605324813e-05,9.04961053250109e-06,0.003288715549701123,0.055138709449956545,0.0031237385232884664,0.0,0.0,3.288173854889536e-05,5.1129353767248105e-06,0.11538524714955468,0.0002780376850310269,0.00019837520224123828
56,0.5555537329140827,0.0014048367456002645,0.06778192852081891,0.0,0.0,0.0007115134093857139,6.477676623020047e-05,0.03566931592774592,0.024239061071810467,0.039670028093837226,0.0,0.0,1.966644083730835e-05,9.123025119012394e-06,0.0033251690886469355,0.05520477058223754,0.0031699666484119493,0.0,0.0,3.293332892686687e-05,5.13813336226771e-06,0.11535466401551057,0.000278137820459604,0.0001984466471818523
57,0.5550007525837828,0.0014049107141587737,0.06771549589662618,0.0,0.0,0.0007114535616224948,6.510573094969562e-05,0.03595961111418398,0.024222939258084834,0.03939082972281905,0.0,0.0,1.9875654771581788e-05,9.195250248310922e-06,0.003360558463436947,0.055269574962975035,0.003216630823604673,0.0,0.0,3.298424103991461e-05,5.163862890593386e-06,0.11532409338431178,0.00027823792785418603,0.00019851807212068327
58,0.5544525281406277,0.0014047795581500911,0.06765323559525482,0.0,0.0,0.0007113963859546232,6.543507611869704e-05,0.03624424895923626,0.024203503500775093,0.03912063899703935,0.0,0.0,2.0082615115954288e-05,9.26632784533465e-06,0.0033948937973294502,0.055333153513281934,0.0032636960403048254,0.0,0.0,3.30344923825642e-05,5.1901042216918206e-06,0.11529353517697948,0.0002783380072226214,0.000198589477063331
59,0.5539089836489389,0.0014044559760133385,0.06759494857168814,0.0,0.0,0.0007113418893218275,6.576470426087853e-05,0.03652338599632289,0.024180963405416984,0.038859088614607705,0.0,0.0,2.0287386466862483e-05,9.336297999367062e-06,0.0034281862516737484,0.05539553693648664,0.0033111279551352973,0.0,0.0,3.308410035390556e-05,5.2168378122548825e-06,0.11526298931210523,0.0002784380585727564,0.0001986608620153936
60,0.5533700441397714,0.0014039511584275036,0.06754044628189067,0.0,0.0,0.0007112900759652384,6.609452425581054e-05,0.03679717291325013,0.024155517840856372,0.03860582790237981,0.0,0.0,2.049003091555814e-05,9.40519912502368e-06,0.0034604480271823515,0.055456755676483886,0.0033588929239219754,0.0,0.0,3.313308223204096e-05,5.244044340307942e-06,0.11523245570611965,0.000278538081912435,0.00019873222698246765
61,0.5528356360590926,0.0014032754308223466,0.0674895501719584,0.0,0.0,0.0007112409480285273,6.642445071348671e-05,0.03706575461997724,0.024127354967267926,0.038360522719873884,0.0,0.0,2.069060808131122e-05,9.47306795651091e-06,0.0034916921963557544,0.05551683990519974,0.0034069580102134072,0.0,0.0,3.318145516629489e-05,5.2717047121614995e-06,0.11520193427340372,0.000278638077249499,0.00019880357197014817
62,0.5523056881967666,0.0014024397297584172,0.06744208959949446,0.0,0.0,0.0007111945070857893,6.675440210413522e-05,0.03732927081039884,0.02409665329480435,0.03812285383472105,0.0,0.0,2.088917535998829e-05,9.539939679249375e-06,0.0035219321912501544,0.055575819445623294,0.0034552910428027207,0.0,0.0,3.322923612968185e-05,5.299800106508716e-06,0.11517142492687958,0.00027873804459178805,0.0001988748969840286
